Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-D3-A8GD	0.590302570113073	0	0	1.17103675565732	0	0.262668637529714	0.208258252844237	0.66559191186597	0.242439760474213	0.309290367143916	0	0.41977357415966	0.100130790338889	0.83821177837357	0.687290253173037	0.748957569473117	0	0	0	0	0	0	0	0.403470762622518	0.917949205745698	6.24395222114672
TCGA-D3-A8GE	0.0609141401279684	0	0.260053408945582	0.74996709872608	0	0.447093844829891	0	0.340613136834946	0.0897619448396189	0.00435109722152797	0	0	0.15954684034914	0	0.218158746365469	1.1640124940058	0.0808116773578495	0	0	0	0	0	0	0.224739594541536	0.997177130841869	3.57528442960387
TCGA-D3-A8GI	0.00239981283541258	0.00591904765681235	0	0.0287310004996109	0.0243133041341289	0	0	0.0615816774663472	0.0606422221675518	0	0.0546089420989313	0	0	1.49449868491051	0.010391228032837	0.340292341838931	0	0	0.0385472518149803	0	0.0102173681181747	0	0	0.330993385276543	1.04414214682314	2.13214288157422
TCGA-D3-A8GJ	0	0.142655500976524	0.0582847018621538	1.78477390098018	0	0	0.319309478694397	0.566141207148448	0.0284840921358867	0.468151142349075	0	0.437633570572173	0.0448878893840854	1.13605538458215	0.447577133170278	0.85388835318034	0	0	0.038494636350946	0	0	0	0	0.403802801626894	0.920221424320476	6.32633699138664
TCGA-D3-A8GK	0.0348268963752897	0.00293474655344375	0.185302901422784	0.162523308964782	0	0	0	0.121716293300204	0	0	0.0904589132882717	0.00584042597518154	0	0.712831555753301	0.0191582276156208	0.524415462179445	0	0	0	0.0696458799416916	0	0	0.31	0.0478028772809353	1.11648294668382	1.92965461137001
TCGA-D3-A8GL	0.104775024782557	0	0.342058422001029	0.00753099572224567	0	0	0	0.118383960584789	0	0.0205930140136783	0	0.0265932753242519	0	0.547762006707691	0.0268093535194675	1.02508564065126	0	0	0.0594267337995276	0	0	0	0.19	0.0793590974801286	1.09674761989424	2.2790184271065
TCGA-D3-A8GM	0.248418994856218	0	0.0914835536562782	0.394429892444874	0	0.141300720544589	0.0743449068940779	0.287751447885278	0.0775913369370166	0	0	0.187038516863437	0	0.685901205285125	0.403093809306148	0.767289039292228	0.0712326583728684	0	0.032502379435958	0	0	0	0.02	0.19306441127652	1.01899284015329	3.4623784617741
TCGA-D3-A8GN	0.00400498906405829	0	0.595833485830364	0.6697533024017	0	0	0.103232660009208	0.251608042949654	0.0403721848881684	0.10055110402229	0	0.0441529671176171	0.208726539825855	0.251943548444063	0.250532685997023	0.233853125791221	0	0	0	0.277808203812773	0	0	0	0.265388332676696	0.972902754643132	3.03237284015399
TCGA-D3-A8GP	0	0.0762016506878622	0	0.131678261996913	0	0	0.00124758180695229	0.308784753521708	0	0	0.127683640004766	0	0	0.556999284398892	0.0356993184179434	0.29591721533208	0	0	0.119673654704557	0	0	0	0.34	0.04240622166942	1.09794901405484	1.65388536087167
TCGA-D3-A8GQ	0	0.0313219183894067	0.109423539475259	0.158275659722715	0	0	0	0.183357634575857	0.00417369288968671	0	0.0339436466958015	0	0	0.646869851088423	0.00403443306826766	0.354154849518866	0	0	0	0.162845577900936	0	0	0	0.347929029143499	0.958885373836071	1.68840080332522
TCGA-D3-A8GR	0	0.0997017312784343	0.0392736503314743	0.043283898842003	0.00158692157803668	0	0.00375165410855443	0.0625442780594175	0.00551117110428103	0.017562465484409	0.0216249761265474	0	0.0238464411207383	0.342333513016948	1.98699527501825e-05	0.441271040270202	0.00625830356000413	0	0.339412617071073	0	0.00447437774758958	0	0.22	0.0741279564345994	1.0845481909519	1.45245690965246
TCGA-D3-A8GS	0	0.177525227760323	0.345168217489301	1.00920485352551	0	0	0.324710827473051	0.0944887070987729	0.0112064265669656	0.0248646795872365	0	0.241045266260726	0.107893680807092	0.165489043537246	0.327449494074343	0.571545400256183	0.0162342815860603	0	0.0669852576139222	0	0	0	0	0.24457403092998	0.989064582783792	3.48381136363673
TCGA-D3-A8GV	0	0.0030295250825916	0.000188502812065716	0.169294782905493	0	0	0	0.175948111431158	0.029935601972045	0	0.0232669563471688	0.061378993298605	0	0.819957554867922	0.0735492311826944	0.385679918535615	0	0	0	0	0	0	0.01	0.20465299534713	1.06108494882034	1.74222917843536
TCGA-D9-A148	0.0143681895870337	0	0.174574955645054	0.61612379322614	0	0	0	0.345433847440892	0.0364273905107446	0.0218181053380187	0	0.0822927207704198	0	1.27397817898748	0.410873919213397	0.294943703286407	0	0	0	0.0102167497660984	0	0	0.04	0.180842228250794	1.04846587451222	3.28105155377168
